service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"Z1+1","1","1","1","1","1","1","1","20160523","20160821"
"Z4+1","1","0","0","0","0","0","0","20160523","20160821"
"Z5+1","0","1","0","0","0","0","0","20160523","20160821"
"Z7+1","0","0","0","0","0","1","0","20160523","20160821"
"Z8+1","0","0","0","0","0","0","1","20160523","20160821"
"Z2+1","1","1","1","1","1","0","0","20160523","20160821"
"Z3+1","0","0","0","0","0","1","1","20160523","20160821"
"TA+b002a+2","1","1","1","1","1","0","0","20160523","20160821"
"TA+b000q+2","0","0","0","0","0","1","0","20160523","20160821"
"TA+b002d+2","1","0","0","0","0","0","1","20160523","20160821"
"TA+b002b+2","1","1","1","1","1","0","0","20160523","20160821"
"TA+b002c+2","1","1","1","1","1","0","0","20160523","20160821"
"TA+b002a_1+2","1","1","1","1","1","0","0","20160523","20160821"
"TA+b002d_1+2","1","0","0","0","0","0","1","20160523","20160821"
"TA+b000q_1+2","0","0","0","0","0","1","0","20160523","20160821"
"TA+b00bm+3","1","1","1","1","1","0","0","20160523","20160604"
"TA+b00b3+3","1","1","1","1","1","0","0","20160523","20160604"
"TA+b00b2+3","0","0","0","0","0","1","0","20160523","20160604"
"TA+b00bn+3","0","0","0","0","0","0","1","20160523","20160604"
"TA+b00af+3","1","1","1","1","1","0","0","20160605","20160821"
"TA+b00ad+3","1","1","1","1","1","0","0","20160605","20160821"
"TA+b00ac+3","0","0","0","0","0","1","0","20160605","20160821"
"TA+b00ag+3","1","0","0","0","0","0","1","20160605","20160821"
"TA+b00ae+3","1","1","1","1","1","0","0","20160605","20160821"
"TA+b00i4+4","1","1","1","1","1","0","0","20160523","20160821"
"TA+b00i3+4","0","0","0","0","0","1","0","20160523","20160821"
"TA+b00kq+4","1","0","0","0","0","0","1","20160523","20160821"
"TA+b00i5+4","1","1","1","1","1","0","0","20160523","20160821"
"TA+b00da+4","1","1","1","1","1","0","0","20160523","20160821"
"TA+b00kp+4","1","1","1","1","1","0","0","20160523","20160821"
"TA+b007g+5","1","1","1","1","1","0","0","20160523","20160821"
"TA+b0074+5","1","1","1","1","1","0","0","20160523","20160821"
"TA+b007b+5","1","1","1","1","1","0","0","20160523","20160821"
"TA+b0067+5","0","0","0","0","0","1","0","20160523","20160821"
"TA+b0039+5","0","0","0","0","1","0","0","20160523","20160821"
"TA+b007t+5","1","0","0","0","0","0","1","20160523","20160821"
"TA+b006x+5","1","1","1","1","0","0","0","20160523","20160821"
"TA+b005x+5","1","1","1","1","1","0","0","20160523","20160731"
"TA+b003r+5","1","1","1","1","1","0","0","20160801","20160821"
"TA+b000k+6","1","1","1","1","1","0","0","20160523","20160821"
"TA+b000j+6","0","0","1","0","0","0","0","20160523","20160821"
"TA+b000a+6","0","0","0","0","1","0","0","20160523","20160821"
"TA+g8+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+4l200+7","0","0","0","0","0","1","1","20160523","20160821"
"TA+4m200+7","0","0","0","0","0","1","1","20160523","20160821"
"TA+bz+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+gt+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+r1097+7","0","0","1","0","0","0","0","20160523","20160821"
"TA+r1509+7","0","0","0","0","1","0","0","20160523","20160821"
"TA+ga+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+q1+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+bt+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+ba+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+bc+7","1","1","1","1","0","0","0","20160523","20160821"
"TA+e7+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+bw+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+o7+7","0","0","0","0","0","1","1","20160523","20160821"
"TA+r1110+7","0","0","0","0","1","0","0","20160523","20160821"
"TA+r1064+7","0","0","0","0","0","1","1","20160523","20160821"
"TA+r1114+7","0","1","0","0","0","0","0","20160523","20160821"
"TA+fu+7","1","1","0","1","0","0","0","20160523","20160821"
"TA+r1113+7","1","0","0","1","0","0","0","20160523","20160821"
"TA+r1147+7","0","0","0","0","1","0","0","20160523","20160821"
"TA+ef+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+r1101+7","0","0","0","1","0","0","0","20160523","20160821"
"TA+r1105+7","1","1","0","1","0","0","0","20160523","20160821"
"TA+dw+7","1","1","0","1","1","0","0","20160523","20160821"
"TA+q5+7","0","0","1","0","0","0","0","20160523","20160821"
"TA+r2+7","1","1","0","0","0","0","0","20160523","20160821"
"TA+s2+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+r1+7","1","1","0","1","1","0","0","20160523","20160821"
"TA+d2+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+q1400+7","0","1","1","1","1","0","0","20160523","20160821"
"TA+aq+7","1","1","1","1","1","1","1","20160523","20160821"
"TA+vg+7","1","1","0","0","0","0","0","20160523","20160821"
"TA+hc+7","1","1","1","1","0","0","0","20160523","20160821"
"TA+hf+7","0","0","0","0","1","0","0","20160523","20160821"
"TA+er+7","1","1","1","1","1","0","0","20160523","20160821"
"TA+bs+7","1","1","1","1","1","0","0","20160523","20160821"
