route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
2-T1-A-sj2-1","TA+4l200+7","87.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+25","1"
"2-T1-A-sj2-1","TA+4l200+7","79.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+26","1"
"2-T1-A-sj2-1","TA+4l200+7","73.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+27","1"
"2-T1-A-sj2-1","TA+4l200+7","63.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+28","1"
"2-T1-A-sj2-1","TA+4l200+7","43.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+29","1"
"2-T1-A-sj2-1","TA+4l200+7","13.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+30","1"
"2-T1-A-sj2-1","TA+4l200+7","474.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+31","1"
"2-T1-A-sj2-1","TA+4l200+7","466.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+32","1"
"2-T1-A-sj2-1","TA+4l200+7","462.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+33","1"
"2-T1-A-sj2-1","TA+4l200+7","455.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+34","1"
"2-T1-A-sj2-1","TA+4l200+7","267.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+35","1"
"2-T1-A-sj2-1","TA+4l200+7","261.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+36","1"
"2-T1-A-sj2-1","TA+4l200+7","255.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","","1"
"2-T1-A-sj2-1","TA+4l200+7","231.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+37","1"
"2-T1-A-sj2-1","TA+4l200+7","217.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+38","1"
"2-T1-A-sj2-1","TA+4l200+7","196.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+39","1"
"2-T1-A-sj2-1","TA+4l200+7","171.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+40","1"
"2-T1-A-sj2-1","TA+4l200+7","165.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+41","1"
"2-T1-A-sj2-1","TA+4l200+7","409.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+42","1"
"2-T1-A-sj2-1","TA+4l200+7","397.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+43","1"
"2-T1-A-sj2-1","TA+4l200+7","387.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+44","1"
"2-T1-A-sj2-1","TA+4l200+7","383.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+45","1"
"2-T1-A-sj2-1","TA+4l200+7","379.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+46","1"
"2-T1-A-sj2-1","TA+4l200+7","368.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+47","1"
"2-T1-A-sj2-1","TA+4l200+7","348.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+48","1"
"2-T1-A-sj2-1","TA+4l200+7","343.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+49","1"
"2-T1-A-sj2-1","TA+4l200+7","325.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+50","1"
"2-T1-A-sj2-1","TA+4l200+7","319.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+51","1"
"2-T1-A-sj2-1","TA+4l200+7","89.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+72","1"
"2-T1-A-sj2-1","TA+4l200+7","470.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+73","1"
"2-T1-A-sj2-1","TA+4l200+7","83.TA.2-T1-A-sj2-1.1.H","2-T1-A-sj2-1.1.H","Berowra Station","0","7+74","1"
"2-T1-A-sj2-1","TA+4l200+7","688.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","7+77","1"
"2-T1-A-sj2-1","TA+4l200+7","679.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","662.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","653.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","651.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","642.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","639.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","635.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","631.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","627.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","620.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","7+80","1"
"2-T1-A-sj2-1","TA+4l200+7","613.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","602.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","598.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","590.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","586.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","578.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
"2-T1-A-sj2-1","TA+4l200+7","572.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","7+83","1"
"2-T1-A-sj2-1","TA+4l200+7","563.TA.2-T1-A-sj2-1.2.R","2-T1-A-sj2-1.2.R","Central Station","1","","1"
